genome_id,ncbi_taxon_id
GCF_000175215.2,573065
GCF_000027305.1,71421
GCF_000196095.1,223926
GCF_000016505.1,431943
GCF_000021325.1,272568
GCF_000299355.1,1128398
GCF_001465835.2,1374
GCF_000240185.1,1125630
GCF_000328725.1,1246955
GCF_000968135.1,1288970
GCF_000815025.1,325775
GCF_000008265.1,263820
GCF_000177535.2,662755
GCF_000023145.1,645127
GCF_000012925.1,269799
GCF_000819445.1,1223515
GCF_000217715.1,797210
GCF_000166395.1,649349
GCF_000147355.1,563040
GCF_000203855.3,220668
GCF_000021725.1,598659
GCF_000022605.2,331104
GCF_000260985.3,754476
GCF_000018605.1,403833
GCF_000800295.1,33033
GCF_000092985.1,446468
GCF_000016165.1,349161
GCF_001305655.1,1604004
GCF_000340905.1,1208921
GCF_000021645.1,515635
GCF_000300005.1,930169
GCF_000317475.1,179408
GCF_000347595.1,1171377
GCF_000974425.1,1379870
GCF_000009905.1,292459
GCF_000008525.1,85962
GCF_002214645.1,1546149
GCF_000166295.1,225937
GCF_000018325.1,350688
GCF_000024025.1,479433
GCF_000344805.1,1245469
GCF_000025085.1,698737
GCF_001606025.1,261164
GCF_000164695.2,762948
GCF_000953635.1,451
GCF_000953695.1,80852
GCF_000331995.1,1121335
GCF_000172995.2,469382
GCF_001705175.1,986
GCF_001953195.1,487316
GCF_001314225.1,1714373
GCF_000008725.1,272561
GCF_000012585.1,340177
GCF_000016825.1,557436
GCF_000265365.1,679935
GCF_000219045.1,573569
GCF_000734895.2,1337936
GCF_000017865.1,416591
GCF_000175255.2,555217
GCF_000212375.1,879243
GCF_001518815.1,47885
GCF_000006985.1,194439
GCF_000177635.2,653733
GCF_000009085.1,192222
GCF_000266945.1,706587
GCF_000585495.1,195522
GCF_000011065.1,226186
GCF_001280225.1,1265350
GCF_000696485.1,213554
GCF_000092925.1,639283
GCF_000144645.1,555079
GCF_000306885.1,100901
GCF_000196135.1,273121
GCF_001558415.1,676
GCF_000265295.1,760154
GCF_000013425.1,93061
GCF_000008865.1,386585
GCF_000025285.1,572546
GCF_000008805.1,122586
GCF_001941825.1,1141883
GCF_000376545.2,1265309
GCF_000008165.1,260799
GCF_000145235.1,644283
GCF_001315015.1,192
GCF_000015665.1,167542
GCF_000152245.2,903814
GCF_000970265.1,1434111
GCF_000025685.1,309800
GCF_000007365.1,198804
GCF_000764555.1,1547445
GCF_000723425.2,1131442
GCF_001483865.1,76731
GCF_000007525.1,206672
GCF_000817955.1,345632
GCF_000590475.1,316
GCF_000953215.1,29343
GCF_001644565.1,1182568
GCF_000973505.1,1505596
GCF_000829415.1,1028989
GCF_001051995.2,1134435
GCF_000024945.1,479436
GCF_000215745.1,1028307
GCF_001543285.1,1377
GCF_000013185.1,374463
GCF_000009725.1,1148
GCF_000202635.1,979556
GCF_000145255.1,395494
GCF_000495935.2,1338011
GCF_000166055.1,648757
GCF_000265465.1,867902
GCF_000214415.1,880724
GCF_001262075.1,1658672
GCF_000018365.1,523850
GCF_001262015.1,1236517
GCF_000017045.1,441771
GCF_001314995.1,28116
GCF_000355675.1,1298593
GCF_001951175.1,392416
GCF_000785495.1,2045
GCF_000026205.1,37692
GCF_000511405.1,697284
GCF_000746585.1,1528098
GCF_001008165.2,1267766
GCF_000227745.2,765911
GCF_000739475.1,1398491
GCF_000016565.1,399739
GCF_000230275.1,568816
GCF_000024365.1,479431
GCF_000236685.1,158190
GCF_000092785.1,716544
GCF_000215105.1,743718
GCF_000014565.1,101510
GCF_000019405.1,228400
GCF_000144405.1,553174
GCF_001050115.1,1479
GCF_001307195.1,1324350
GCF_000007565.2,160488
GCF_000253295.1,717785
GCF_000026345.1,585057
GCF_000011985.1,272621
GCF_000021565.1,123214
GCF_000020945.1,309798
GCF_000011645.1,279010
GCF_000148385.1,572478
GCF_001542565.1,1771959
GCF_001443605.1,1307839
GCF_000264495.1,1184251
GCF_000284115.1,1142394
GCF_000238255.3,1117319
GCF_002222615.2,47678
GCF_000020625.1,290512
GCF_000299235.1,1048260
GCF_000215995.1,529709
GCF_000018945.1,309803
GCF_000178115.2,663278
GCF_000313175.2,758847
GCF_000980835.1,35755
GCF_000011705.1,243160
GCF_000009705.1,103690
GCF_000341345.1,1121362
GCF_000246985.2,523849
GCF_000022305.1,535289
GCF_000517625.1,797299
GCF_000190575.1,667015
GCF_000235405.2,771875
GCF_000008625.1,224324
GCF_001262035.1,732
GCF_000006745.1,243277
GCF_000091305.1,680198
GCF_000015885.1,416269
GCF_000212695.1,590998
GCF_000214435.1,868595
GCF_000242335.1,908937
GCF_000022085.1,460265
GCF_000093065.1,515618
GCF_000092365.1,644284
GCF_000724625.1,661478
GCF_000828815.1,1410383
GCF_001880325.1,56956
GCF_000153405.2,314282
GCF_000024065.1,471856
GCF_000009125.1,267608
GCF_001042675.1,864564
GCF_000271665.2,1192197
GCF_000011185.1,273116
GCF_000008685.2,224326
GCF_000007625.1,212717
GCF_001886695.1,502682
GCF_000801315.1,1385664
GCF_001307545.1,1766
GCF_000019965.1,452637
GCF_000500935.1,1276258
GCF_000021045.1,322710
GCF_000009545.1,218495
GCF_000154785.2,391595
GCF_000022365.1,593117
GCF_000468615.2,1348584
GCF_000317615.1,13035
GCF_000227705.2,717605
GCF_000015125.1,290317
GCF_000056065.1,390333
GCF_000739065.1,1301915
GCF_000011325.1,196627
GCF_000550765.1,1296990
GCF_000214785.1,1033837
GCF_000283595.1,652620
GCF_000196355.1,323848
GCF_000043285.1,203907
GCF_000305785.2,1117647
GCF_001040945.1,964
GCF_000230895.2,710685
GCF_001514455.1,47917
GCF_000014005.1,204669
GCF_000012085.2,314724
GCF_000233435.1,1074889
GCF_000008325.1,243233
GCF_000454045.1,1136179
GCF_000017945.1,453591
GCF_000012765.1,340047
GCF_001402875.1,1079
GCF_000143165.1,552811
GCF_000186985.1,859194
GCF_000063525.1,316278
GCF_000020025.1,63737
GCF_000145275.1,573061
GCF_000247565.1,36868
GCF_000191545.1,891391
GCF_000785105.2,1138822
GCF_900087055.1,703
GCF_000014445.1,203120
GCF_000016285.1,311402
GCF_001922025.1,152331
GCF_000024605.1,429009
GCF_000014225.1,342610
GCF_000243135.2,871963
GCF_000231405.2,871968
GCF_001411495.1,983594
GCF_000019745.1,452638
GCF_000968175.1,1354304
GCF_000317515.1,1173027
GCF_000024845.1,518766
GCF_001013905.1,1437453
GCF_000747525.1,1538644
GCF_001262715.1,216946
GCF_000026745.1,568814
GCF_001046955.1,988812
GCF_001652565.1,879274
GCF_000813245.1,697581
GCF_000146185.1,515620
GCF_000009345.1,393305
GCF_001648175.1,376489
GCF_000204255.1,331636
GCF_002234495.1,616991
GCF_000800475.2,1447715
GCF_000025905.1,583355
GCF_000222305.1,521010
GCF_000092825.1,640132
GCF_000219535.2,1042163
GCF_000020165.1,935198
GCF_000015005.1,246196
GCF_000210915.2,862908
GCF_000264455.2,1110502
GCF_000006865.1,272623
GCF_000319385.1,1193729
GCF_001412575.1,1678129
GCF_000024345.1,479435
GCF_000521505.1,1247726
GCF_000266905.1,710421
GCF_000316605.1,111781
GCF_000014185.1,266117
GCF_000737325.1,927083
GCF_000012985.1,349521
GCF_000195995.1,220341
GCF_000010585.1,458233
GCF_000014345.1,293613
GCF_000153485.2,313595
GCF_000006605.1,306537
GCF_000612685.1,1437824
GCF_000317795.1,1056495
GCF_000009925.1,295405
GCF_000208385.1,760011
GCF_000504125.1,1300150
GCF_000341355.1,1094489
GCF_000006925.2,198214
GCF_000577895.1,1216932
GCF_000763575.1,2325
GCF_000612485.1,1247649
GCF_000021885.1,557723
GCF_000317435.1,1170562
GCF_000517565.1,694431
GCF_001700965.1,83617
GCF_000009865.1,279808
GCF_000012685.1,246197
GCF_000964565.1,29486
GCF_000196835.1,749927
GCF_000828855.1,29554
GCF_000013125.1,212042
GCF_000960975.1,1486262
GCF_000959725.1,28095
GCF_000091565.1,665029
GCF_000195715.1,257313
GCF_000764535.1,1549858
GCF_000196115.1,243090
GCF_000255135.1,443254
GCF_000022265.1,316067
GCF_000015505.1,365044
GCF_000982715.1,191292
GCF_001750785.1,285473
GCF_000219585.1,261292
GCF_000013105.1,264732
GCF_000012345.1,335992
GCF_000013865.1,296591
GCF_000019605.1,374847
GCF_000828655.1,1408159
GCF_001543175.1,1376
GCF_001618685.1,129338
GCF_000283555.1,1041504
GCF_000835165.1,1224162
GCF_001267865.1,53345
GCF_000242595.2,889378
GCF_001584185.1,279113
GCF_000626675.1,1404245
GCF_000309885.1,751945
GCF_000750535.1,759620
GCF_000018865.1,324602
GCF_000993805.1,1550241
GCF_001698145.1,1246
GCF_000011905.1,243164
GCF_000020545.1,331678
GCF_000478905.1,1235990
GCF_000021985.1,396588
GCF_001709315.1,549
GCF_000023025.1,377629
GCF_001484605.1,121292
GCF_000599985.1,1196095
GCF_000724775.3,28031
GCF_000969645.2,1236179
GCF_000024105.1,525919
GCF_000092265.1,1236608
GCF_000204135.1,331635
GCF_000828915.1,1458426
GCF_000007865.1,262316
GCF_000376645.1,1316932
GCF_000014745.1,394221
GCF_000400955.1,1276229
GCF_000828515.1,476281
GCF_000510265.1,1401328
GCF_000022325.1,521460
GCF_000147055.1,198628
GCF_000092585.1,710127
GCF_001676765.1,935546
GCF_001189495.1,888727
GCF_000007825.1,226900
GCF_001021975.1,1324352
GCF_000250635.1,984262
GCF_000017705.1,338187
GCF_000008665.1,224325
GCF_000243115.2,929713
GCF_000830005.1,362257
GCF_000069025.1,478009
GCF_000024325.1,485915
GCF_000178975.2,1198114
GCF_001655245.1,1354275
GCF_000017225.1,426368
GCF_000242455.2,886293
GCF_000455605.1,1094466
GCF_001020985.1,571915
GCF_000503895.1,1029756
GCF_000025185.1,530564
GCF_000214375.1,545694
GCF_000020145.1,445932
GCF_000316515.1,292564
GCF_000063605.1,347257
GCF_000092045.1,347834
GCF_001562115.1,233316
GCF_000195275.1,869209
GCF_000300135.1,1229758
GCF_000218545.1,593907
GCF_000961095.1,1126833
GCF_001767275.1,1254
GCF_000754275.1,747
GCF_000950575.1,1618207
GCF_000147875.1,679926
GCF_000525675.1,765869
GCF_001281385.1,1125411
GCF_000970325.1,1434104
GCF_000789395.1,1415775
GCF_000253275.1,1034807
GCF_000017185.1,419665
GCF_001021025.1,1050174
GCF_000319575.2,1260251
GCF_000283655.1,862719
GCF_000354175.2,1219076
GCF_001548075.1,35806
GCF_000018265.1,391037
GCF_001050435.1,637971
GCF_000317575.1,111780
GCF_001042695.1,1150468
GCF_000018285.1,398579
GCF_001442535.1,84531
GCF_001653755.1,1300343
GCF_000195855.1,272631
GCF_000230715.2,797304
GCF_001412595.1,1707785
GCF_000191045.1,868864
GCF_000008045.1,257363
GCF_000009365.1,393595
GCF_000013005.1,314225
GCF_000008025.1,163164
GCF_000270245.1,1032480
GCF_000017565.1,402881
GCF_000006905.1,190650
GCF_000967915.1,61635
GCF_000025645.1,580331
GCF_000016325.1,399742
GCF_000237085.1,720554
GCF_000014205.1,388919
GCF_000759535.1,157783
GCF_000233775.1,580340
GCF_000723505.1,1433126
GCF_000017145.1,366394
GCF_001605965.1,198620
GCF_000306785.1,477641
GCF_000152265.2,333146
GCF_000015585.1,349124
GCF_000237145.1,134676
GCF_000007145.1,190485
GCF_000208405.1,546271
GCF_000697965.2,106592
GCF_000940805.1,1445510
GCF_000027145.1,683837
GCF_000827005.1,1888
GCF_000260985.4,754476
GCF_001021385.1,1545728
GCF_000196175.1,264462
GCF_000010325.1,387092
GCF_000092185.1,633148
GCF_000008185.1,243275
GCF_000767465.1,1088721
GCF_000183135.1,694427
GCF_000144675.1,681645
GCF_000737865.1,1687
GCF_000730245.1,86106
GCF_001583415.1,1771
GCF_000017505.1,404589
GCF_000512205.2,1123269
GCF_000006765.1,208964
GCF_000376585.1,1236908
GCF_000219175.1,903503
GCF_000270145.1,981539
GCF_001017435.1,413882
GCF_000737515.1,1356852
GCF_001447335.1,652
GCF_001314945.1,148814
GCF_000062885.1,405948
GCF_000444875.1,1214242
GCF_001889105.1,194963
GCF_000340795.1,1208919
GCF_001597285.1,43263
GCF_000252445.1,745776
GCF_000816345.1,580033
GCF_000214355.1,545695
GCF_000316575.1,99598
GCF_000325705.1,926556
GCF_000046705.1,283166
GCF_000243155.2,756499
GCF_000024905.1,525903
GCF_000022905.1,548476
GCF_000184685.1,710696
GCF_000091665.1,243232
GCF_001027025.1,1330330
GCF_000970045.1,1434100
GCF_000828835.1,40754
GCF_000017425.1,315749
GCF_000020725.1,404380
GCF_000963865.1,516051
GCF_000196695.1,685727
GCF_000306765.2,523841
GCF_000158275.2,457405
GCF_002073715.2,490
GCF_000010985.1,639282
GCF_001514435.1,1308
GCF_000007265.1,208435
GCF_000146065.2,459349
GCF_000442645.1,1224163
GCF_000568815.1,1150621
GCF_000008345.1,267747
GCF_000317635.1,65093
GCF_000092505.1,762051
GCF_000069925.1,59748
GCF_000011225.1,272633
GCF_000164985.3,886882
GCF_000224005.2,765910
GCF_001274535.1,712357
GCF_000270205.1,1029718
GCF_001190745.1,824
GCF_000016065.1,323850
GCF_000055945.1,363253
GCF_000304735.1,1239934
GCF_000007725.1,224915
GCF_000006175.1,456320
GCF_000011105.1,70601
GCF_000184435.1,278137
GCF_000024625.1,579137
GCF_000478885.1,1384484
GCF_000828715.1,754409
GCF_001421015.1,1616788
GCF_000217815.1,688269
GCF_001578105.1,686597
GCF_000023945.1,519442
GCF_000762265.1,2162
GCF_000828675.1,1408160
GCF_000020985.1,289376
GCF_000192865.1,717774
GCF_000724485.1,796606
GCF_000024465.1,488538
GCF_000223395.1,694429
GCF_000583875.1,1229831
GCF_001263395.1,1437605
GCF_000091545.1,300852
GCF_000025845.1,512564
GCF_000317695.1,272123
GCF_000815185.1,56458
GCF_000328665.1,867904
GCF_001941945.1,257708
GCF_000277795.1,1197325
GCF_000012325.1,167879
GCF_000523235.1,1415166
GCF_000737535.1,1280380
GCF_001454945.1,1297617
GCF_000953475.1,1156937
GCF_000015105.1,413404
GCF_001578185.1,1478
GCF_001465295.1,1315283
GCF_000738435.1,666509
GCF_000023225.1,525897
GCF_001439585.2,1450761
GCF_002222635.1,1402135
GCF_000463355.1,862967
GCF_000184705.1,644966
GCF_000316685.1,195253
GCF_001787335.1,153496
GCF_000294515.1,1205910
GCF_001548055.1,366522
GCF_000196675.1,675635
GCF_000565175.1,1276246
GCF_000219355.1,696127
GCF_000815065.1,743971
GCF_000215705.1,365046
GCF_000196035.1,169963
GCF_001444405.1,161398
GCF_000251105.1,1041930
GCF_000069225.1,31964
GCF_000422165.1,326425
GCF_001444425.1,1249552
GCF_000477415.1,1403316
GCF_000284235.1,944547
GCF_000019165.1,498761
GCF_000321415.2,1255043
GCF_001483965.1,1564681
GCF_001652465.1,84292
GCF_000007905.1,235279
GCF_000018105.1,329726
GCF_000317305.3,700508
GCF_000204155.1,263358
GCF_000010185.1,334413
GCF_000196615.1,634500
GCF_001686985.1,1082933
GCF_000830885.1,1432061
GCF_001278075.1,38300
